Volatility 3 Framework 2.27.0

PID	Process	Offset	Start VPN	End VPN	Tag	Protection	CommitCharge	PrivateMemory	Parent	File	File output

880	svchost.exe	0x899d8980	0x6f880000	0x6fa49fff	Vad 	PAGE_EXECUTE_WRITECOPY	9	0	0x0	\WINDOWS\AppPatch\AcGenral.dll	Disabled
880	svchost.exe	0x89a8b7c0	0x1000000	0x1005fff	Vad 	PAGE_EXECUTE_WRITECOPY	1	0	0x899d8980	\WINDOWS\system32\svchost.exe	Disabled
880	svchost.exe	0x89980d60	0xcb0000	0xcb1fff	Vad 	PAGE_READWRITE	0	0	0x89a8b7c0	N/A	Disabled
880	svchost.exe	0x89733768	0xa60000	0xa9ffff	VadS	PAGE_READWRITE	4	1	0x89980d60	N/A	Disabled
880	svchost.exe	0x89953360	0x670000	0x934fff	Vad 	PAGE_EXECUTE_WRITECOPY	0	0	0x89733768	\WINDOWS\system32\xpsp2res.dll	Disabled
880	svchost.exe	0x89a791b0	0x3b0000	0x3bffff	VadS	PAGE_READWRITE	8	1	0x89953360	N/A	Disabled
880	svchost.exe	0x89a7a130	0x190000	0x19ffff	VadS	PAGE_READWRITE	6	1	0x89a791b0	N/A	Disabled
880	svchost.exe	0x89a7e120	0x20000	0x20fff	VadS	PAGE_READWRITE	1	1	0x89a7a130	N/A	Disabled
880	svchost.exe	0x89bc14b8	0x10000	0x10fff	VadS	PAGE_READWRITE	1	1	0x89a7e120	N/A	Disabled
880	svchost.exe	0x89aab290	0x80000	0x82fff	Vad 	PAGE_READONLY	0	0	0x89a7e120	N/A	Disabled
880	svchost.exe	0x89c0b7f8	0x40000	0x7ffff	VadS	PAGE_READWRITE	5	1	0x89aab290	N/A	Disabled
880	svchost.exe	0x89a8b7f0	0x30000	0x30fff	Vadl	PAGE_READWRITE	1	1	0x89c0b7f8	N/A	Disabled
880	svchost.exe	0x89685610	0x90000	0x18ffff	Vadl	PAGE_READWRITE	81	1	0x89aab290	N/A	Disabled
880	svchost.exe	0x899c7620	0x220000	0x260fff	Vad 	PAGE_READONLY	0	0	0x89a7a130	\WINDOWS\system32\sortkey.nls	Disabled
880	svchost.exe	0x899d9270	0x1b0000	0x1c5fff	Vad 	PAGE_READONLY	0	0	0x899c7620	\WINDOWS\system32\unicode.nls	Disabled
880	svchost.exe	0x899d9b60	0x1a0000	0x1affff	Vad 	PAGE_READWRITE	0	0	0x899d9270	N/A	Disabled
880	svchost.exe	0x899d9240	0x1d0000	0x210fff	Vad 	PAGE_READONLY	0	0	0x899d9270	\WINDOWS\system32\locale.nls	Disabled
880	svchost.exe	0x899c75f0	0x270000	0x275fff	Vad 	PAGE_READONLY	0	0	0x899c7620	\WINDOWS\system32\sorttbls.nls	Disabled
880	svchost.exe	0x899f3b98	0x280000	0x347fff	Vad 	PAGE_EXECUTE_READ	0	0	0x899c75f0	N/A	Disabled
880	svchost.exe	0x89a93cf0	0x350000	0x350fff	Vadl	PAGE_READWRITE	1	1	0x899f3b98	N/A	Disabled
880	svchost.exe	0x89a781d8	0x360000	0x36ffff	VadS	PAGE_READWRITE	9	1	0x89a93cf0	N/A	Disabled
880	svchost.exe	0x899d0200	0x370000	0x371fff	Vad 	PAGE_READONLY	0	0	0x89a781d8	N/A	Disabled
880	svchost.exe	0x89a1b798	0x390000	0x391fff	Vad 	PAGE_READONLY	0	0	0x899d0200	N/A	Disabled
880	svchost.exe	0x89a78188	0x380000	0x38ffff	VadS	PAGE_READWRITE	4	1	0x89a1b798	N/A	Disabled
880	svchost.exe	0x89a1b768	0x3a0000	0x3a1fff	Vad 	PAGE_READONLY	0	0	0x89a1b798	N/A	Disabled
880	svchost.exe	0x89a84700	0x420000	0x522fff	Vad 	PAGE_READONLY	0	0	0x89a791b0	N/A	Disabled
880	svchost.exe	0x899f5bf8	0x3d0000	0x3d2fff	Vad 	PAGE_READONLY	0	0	0x89a84700	\WINDOWS\system32\ctype.nls	Disabled
880	svchost.exe	0x89a79160	0x3c0000	0x3cffff	VadS	PAGE_READWRITE	4	1	0x899f5bf8	N/A	Disabled
880	svchost.exe	0x89a3f230	0x3e0000	0x41ffff	VadS	PAGE_READWRITE	3	1	0x899f5bf8	N/A	Disabled
880	svchost.exe	0x89a7c280	0x5b0000	0x62ffff	VadS	PAGE_READWRITE	1	1	0x89a84700	N/A	Disabled
880	svchost.exe	0x89a93d70	0x530000	0x5affff	Vad 	PAGE_EXECUTE_READ	0	0	0x89a7c280	N/A	Disabled
880	svchost.exe	0x899febe8	0x630000	0x66ffff	VadS	PAGE_READWRITE	4	1	0x89a7c280	N/A	Disabled
880	svchost.exe	0x89b41a68	0xa00000	0xa3ffff	VadS	PAGE_READWRITE	4	1	0x89953360	N/A	Disabled
880	svchost.exe	0x89c08f10	0x940000	0x97ffff	VadS	PAGE_READWRITE	5	1	0x89b41a68	N/A	Disabled
880	svchost.exe	0x89bbeb98	0x9c0000	0x9fffff	VadS	PAGE_READWRITE	5	1	0x89c08f10	N/A	Disabled
880	svchost.exe	0x89a140e8	0x980000	0x988fff	VadS	PAGE_EXECUTE_READWRITE	9	1	0x89bbeb98	N/A	Disabled
880	svchost.exe	0x89b41980	0x990000	0x99ffff	VadS	PAGE_READWRITE	3	1	0x89a140e8	N/A	Disabled
