Volatility 3 Framework 2.27.0

Variable	Value

Kernel Base	0x804d7000
DTB	0x39000
Symbols	file:///home/thomas/code/digital-forensics-lab/venv/lib/python3.12/site-packages/volatility3/symbols/windows/ntoskrnl.pdb/47A5AC97343A4A7ABF14EFD9E9933772-2.json.xz
Is64Bit	False
IsPAE	False
layer_name	0 WindowsIntel
memory_layer	1 FileLayer
KdDebuggerDataBlock	0x8054cde0
NTBuildLab	2600.xpsp.080413-2111
CSDVersion	3
KdVersionBlock	0x8054cdb8
Major/Minor	15.2600
MachineType	332
KeNumberProcessors	1
SystemTime	2023-02-13 18:29:11+00:00
NtSystemRoot	C:\WINDOWS
NtProductType	NtProductWinNt
NtMajorVersion	5
NtMinorVersion	1
PE MajorOperatingSystemVersion	5
PE MinorOperatingSystemVersion	1
PE Machine	332
PE TimeDateStamp	Sun Apr 13 19:27:39 2008
